Real_SSN,Predicted_SSN,Error_Absoluto
2.151871,2.15558,0.003709
1.55499,1.684346,0.129356
1.224208,1.437904,0.213696
1.589757,1.378532,0.211225
1.412219,1.433834,0.021615
1.715267,1.805598,0.090331
2.099067,2.010703,0.088364
1.855028,1.99139,0.136362
1.890451,1.845189,0.045262
1.634574,1.773084,0.13851
1.285738,1.462048,0.17631
1.497126,1.605178,0.108053
1.7196,1.550064,0.169536
2.018076,2.031906,0.01383
1.360238,1.455138,0.0949
1.802337,1.822847,0.02051
1.324368,1.433808,0.109441
1.354754,1.502209,0.147455
1.996422,2.166566,0.170144
2.01304,2.16532,0.152281
2.288592,2.271506,0.017086
1.450479,1.635774,0.185295
2.027303,1.865426,0.161878
1.631981,1.726289,0.094308
1.594204,1.399544,0.19466
1.351512,1.510926,0.159414
1.947987,1.949215,0.001228
2.468288,2.626052,0.157764
1.461422,1.493361,0.031938
1.560432,1.60666,0.046228
1.358241,1.350537,0.007704
2.313459,2.25669,0.056768
2.105504,1.766176,0.339328
1.435488,1.345805,0.089684
1.513529,1.655992,0.142463
2.075875,1.992424,0.083451
1.716995,1.742958,0.025962
1.918078,1.896313,0.021764
1.471907,1.50761,0.035703
2.47724,2.361736,0.115505
1.450759,1.493403,0.042644
1.505351,1.701462,0.196111
1.300341,1.405956,0.105615
1.903814,1.898209,0.005605
1.473784,1.4944,0.020616
1.93541,1.868602,0.066808
1.97317,1.838138,0.135032
1.885372,1.852172,0.0332
1.579624,1.427216,0.152409
1.626492,1.446566,0.179926
1.614064,1.308858,0.305206
1.357871,1.45034,0.092469
