Real_SSN,Predicted_SSN,Error_Absoluto
1.878679,1.724582,0.154096
1.316673,1.42538,0.108707
1.774615,2.062461,0.287846
2.273572,2.04976,0.223811
2.063787,1.853054,0.210733
2.198488,2.139147,0.05934
2.417636,2.401835,0.015801
1.291549,1.444865,0.153315
1.368588,1.494782,0.126194
1.55499,1.660966,0.105976
2.507299,2.199226,0.308074
1.472306,1.477631,0.005325
1.914829,1.893834,0.020995
1.413596,1.486904,0.073308
2.50017,2.44046,0.059711
2.433157,2.322418,0.110739
2.202248,2.321524,0.119276
1.446372,1.451148,0.004775
1.325899,1.419784,0.093884
1.488447,1.361496,0.126952
2.017474,2.10402,0.086546
1.413065,1.541114,0.128049
2.102792,2.05336,0.049432
2.58488,2.304872,0.280009
1.395196,1.466219,0.071023
1.436692,1.396319,0.040374
1.81905,1.91606,0.097009
2.308726,2.266718,0.042008
2.40764,2.418374,0.010734
2.099067,1.934063,0.165004
1.624519,1.448139,0.17638
2.030361,2.00218,0.028181
1.906747,1.91868,0.011934
1.987213,1.931016,0.056197
1.434648,1.539165,0.104517
1.244462,1.360272,0.115811
1.666743,1.817769,0.151027
1.565415,1.414857,0.150558
1.852942,1.898644,0.045702
2.119255,2.075961,0.043294
1.812988,1.683796,0.129192
1.96774,2.033098,0.065358
2.502763,2.398677,0.104086
2.152175,2.223404,0.071229
1.873779,2.062822,0.189043
1.362914,1.401535,0.038621
1.30623,1.445948,0.139719
1.819611,1.925201,0.10559
1.297718,1.47417,0.176452
2.039349,1.865858,0.173491
1.649076,1.751537,0.102461
1.660287,1.558962,0.101325
1.917511,1.8513,0.066211
1.410061,1.540021,0.12996
1.78948,1.967096,0.177615
1.717091,1.638281,0.07881
1.582104,1.415014,0.16709
1.411068,1.511305,0.100237
1.379776,1.535051,0.155275
1.265854,1.384607,0.118753
1.373541,1.457743,0.084202
1.511025,1.510334,0.000692
2.029562,2.068466,0.038904
1.571965,1.640675,0.06871
2.028674,2.022113,0.006561
2.186996,2.054308,0.132688
1.99089,1.925762,0.065129
1.901966,1.92163,0.019664
1.580465,1.739062,0.158597
1.999128,1.943773,0.055355
2.140963,1.929332,0.211631
1.682949,1.413394,0.269555
1.913124,1.973796,0.060672
1.726413,1.770301,0.043888
2.099162,2.069345,0.029817
1.935095,1.873124,0.06197
1.351512,1.497119,0.145607
1.654589,1.668204,0.013615
1.31467,1.475076,0.160406
1.707614,1.819537,0.111924
2.051169,2.224978,0.17381
1.659685,1.74521,0.085525
2.046472,1.975082,0.07139
1.316565,1.409832,0.093267
1.466972,1.528668,0.061697
1.916075,1.925921,0.009846
1.555115,1.587978,0.032863
1.515353,1.495456,0.019897
1.379168,1.34987,0.029298
1.781219,1.615106,0.166113
1.228797,1.393375,0.164578
1.950026,1.942099,0.007927
1.691824,1.73193,0.040106
2.09254,2.094743,0.002203
2.14209,2.150442,0.008353
1.675534,1.716882,0.041348
1.441532,1.406619,0.034914
1.807314,1.945942,0.138627
2.574694,2.592453,0.017759
2.181029,2.027529,0.153501
1.698118,1.768419,0.070301
1.993728,1.979969,0.013758
1.665086,1.395023,0.270063
2.050173,2.00605,0.044124
1.435632,1.366092,0.06954
2.236664,2.165653,0.071012
2.094006,2.084864,0.009142
1.852232,1.891411,0.039179
1.573157,1.583697,0.01054
2.080309,1.9438,0.136509
1.628727,1.438357,0.19037
1.795948,1.605083,0.190864
1.412678,1.40683,0.005848
2.0015,2.16938,0.16788
1.282483,1.410976,0.128493
1.504362,1.669384,0.165022
1.471919,1.509429,0.03751
2.33292,2.263708,0.069212
1.631361,1.712671,0.08131
2.136696,2.019657,0.117039
2.103346,2.120514,0.017168
1.660335,1.79539,0.135055
2.057386,1.988724,0.068661
1.769286,1.956236,0.186949
1.528352,1.669685,0.141332
1.34213,1.445482,0.103352
1.492804,1.333461,0.159343
1.272869,1.414173,0.141304
1.761925,1.665038,0.096888
2.039516,1.861528,0.177989
1.397371,1.584892,0.187521
2.532154,2.218995,0.313159
1.50519,1.568406,0.063215
1.64237,1.523096,0.119274
1.483053,1.416288,0.066764
1.678389,1.723514,0.045125
1.396453,1.503048,0.106595
1.249385,1.378809,0.129424
1.566303,1.720988,0.154686
1.738554,1.912356,0.173802
1.770872,1.619563,0.151309
1.491952,1.572212,0.08026
