protocol,band,n,mae,rmse,r2,mape,mape_nonzero_n,bias,median_ae,p90_ae,p95_ae,max_ae
mc_si,low,43,0.11345225156739701,0.1249615260844784,-4.9277596115603508,8.5990486322464381,43,0.10696742146514183,0.10561478137969971,0.18181352615356447,0.21159498691558834,0.23063278198242188
mc_si,medium,96,0.095712576061487198,0.11595316411333216,-0.35212233492124478,6.2111599236865249,96,0.00035581116875012714,0.090039432048797607,0.18878084421157837,0.20510119199752808,0.30520641803741455
mc_si,high,124,0.10195806045686046,0.12830551711314583,0.63503230876439054,4.9077202370266422,124,-0.035315964491136616,0.089415967464447021,0.21139067411422732,0.25072197318077083,0.33932805061340332
onnx_si,low,43,0.051747898722803873,0.063469227893329844,-0.52920029429144511,3.9822552523828341,43,0.043636865394060004,0.044346213340759277,0.10398585796356204,0.11659799814224242,0.14719533920288086
onnx_si,medium,96,0.10290536656975746,0.13246094552290277,-0.76451957257507197,6.5009508161553704,96,-0.098492720474799469,0.073427796363830566,0.23731344938278198,0.25692501664161682,0.32925164699554443
onnx_si,high,124,0.33524079380496857,0.35560448906012954,-1.8034849372522856,15.850953139779111,124,-0.33524079380496857,0.32203495502471924,0.50112874507904059,0.56435477733612061,0.69843316078186035
