model,protocol,n,mae,rmse,r2,mape,mape_nonzero_n,bias,median_ae,p90_ae,p95_ae,max_ae
Coronium V3.1,mc_si,263,0.1015576183116028,0.12337954147975747,0.87529663902142529,5.9870256777635245,263,0.00096797489847973725,0.094726324081420898,0.19497356414794922,0.23227815628051754,0.33932805061340332
Coronium V3.1,onnx_si,263,0.2040833964547277,0.25823317396733214,0.45371921948054406,10.497514994433411,263,-0.18687746914620634,0.1810309886932373,0.41996114253997807,0.48784542083740229,0.69843316078186035
Coronium V3.1,pytorch_si,263,0.20408323599811742,0.25823296738954693,0.45372009349240605,10.497507132398479,263,-0.1868773014373199,0.18103039264678955,0.4199609279632569,0.4878450393676757,0.69843196868896484
Training mean,train_mean_si,263,0.30440372784726594,0.34962027277498958,-0.0013480799749923111,17.887176697463371,263,0.012828087139350878,0.30755356422046831,0.51648524122846129,0.59156969657520453,1.1812920915184419
