model,protocol,n,overlap,mae,rmse,r2,mape
Coronium V3 historical,historical MC T=20,353,145,0.1048,0.12720000000000001,0.86339999999999995,6.0700000000000003
Coronium V3.1,mc_si,263,0,0.1015576183116028,0.12337954147975747,0.87529663902142529,5.9870256777635245
Coronium V3.1,onnx_si,263,0,0.2040833964547277,0.25823317396733214,0.45371921948054406,10.497514994433411
