repeat,order,protocol,source_row,latency_ms,prediction_si
31,0,pytorch_mc20_cpu,1654,638.15037500000005,1.7921493053436279
31,1,onnx_eval_cpu,1654,24.626207999999998,1.5464715957641602
31,2,pytorch_eval_cpu,1654,30.959917000000001,1.5464721918106079
32,0,onnx_eval_cpu,1043,24.126374999999999,1.6098963022232056
32,1,pytorch_eval_cpu,1043,31.105416999999999,1.6098971366882324
32,2,pytorch_mc20_cpu,1043,644.71479099999999,1.9093459844589233
33,0,pytorch_mc20_cpu,1060,636.52466600000002,2.1254165172576904
33,1,pytorch_eval_cpu,1060,30.100833999999999,1.7557220458984375
33,2,onnx_eval_cpu,1060,25.472291999999999,1.7557219266891479
34,0,onnx_eval_cpu,1376,24.955791999999999,1.9020698070526123
34,1,pytorch_mc20_cpu,1376,634.95045800000003,2.3378479480743408
34,2,pytorch_eval_cpu,1376,30.206666999999999,1.9020700454711914
35,0,pytorch_eval_cpu,1312,30.320916,2.2511813640594482
35,1,pytorch_mc20_cpu,1312,634.15129200000001,2.7633538246154785
35,2,onnx_eval_cpu,1312,25.005292000000001,2.2511801719665527
36,0,pytorch_eval_cpu,148,31.404250000000001,1.3675583600997925
36,1,pytorch_mc20_cpu,148,640.43337499999996,1.4334480762481689
36,2,onnx_eval_cpu,148,24.221042000000001,1.3675587177276611
37,0,pytorch_mc20_cpu,285,641.68958299999997,1.42232346534729
37,1,onnx_eval_cpu,285,23.966291999999999,1.3815205097198486
37,2,pytorch_eval_cpu,285,30.424875,1.3815203905105591
38,0,pytorch_mc20_cpu,681,644.01808400000004,1.3987815380096436
38,1,pytorch_eval_cpu,681,31.579583,1.3625466823577881
38,2,onnx_eval_cpu,681,25.321750000000002,1.3625465631484985
39,0,onnx_eval_cpu,411,25.387625,1.3533458709716797
39,1,pytorch_mc20_cpu,411,635.53324999999995,1.4538974761962891
39,2,pytorch_eval_cpu,411,30.323208999999999,1.3533456325531006
40,0,onnx_eval_cpu,1654,24.397625000000001,1.5464715957641602
40,1,pytorch_eval_cpu,1654,30.412458000000001,1.5464721918106079
40,2,pytorch_mc20_cpu,1654,702.10429099999999,1.8178684711456299
41,0,onnx_eval_cpu,1043,24.426833999999999,1.6098963022232056
41,1,pytorch_mc20_cpu,1043,637.68299999999999,1.7455527782440186
41,2,pytorch_eval_cpu,1043,31.164166000000002,1.6098971366882324
42,0,onnx_eval_cpu,1060,25.177083,1.7557219266891479
42,1,pytorch_mc20_cpu,1060,636.33124999999995,2.0560219287872314
42,2,pytorch_eval_cpu,1060,31.369624999999999,1.7557220458984375
43,0,onnx_eval_cpu,1376,24.271208000000001,1.9020698070526123
43,1,pytorch_mc20_cpu,1376,642.27754100000004,2.3838629722595215
43,2,pytorch_eval_cpu,1376,31.558375000000002,1.9020700454711914
44,0,onnx_eval_cpu,1312,24.771625,2.2511801719665527
44,1,pytorch_mc20_cpu,1312,636.91779199999996,2.7078585624694824
44,2,pytorch_eval_cpu,1312,31.417750000000002,2.2511813640594482
45,0,pytorch_mc20_cpu,148,631.91633300000001,1.4613348245620728
45,1,onnx_eval_cpu,148,24.444915999999999,1.3675587177276611
45,2,pytorch_eval_cpu,148,31.121959,1.3675583600997925
46,0,pytorch_eval_cpu,285,31.3995,1.3815203905105591
46,1,onnx_eval_cpu,285,24.075832999999999,1.3815205097198486
46,2,pytorch_mc20_cpu,285,642.16937499999995,1.4694821834564209
47,0,onnx_eval_cpu,681,24.071959,1.3625465631484985
47,1,pytorch_eval_cpu,681,30.518083000000001,1.3625466823577881
47,2,pytorch_mc20_cpu,681,634.33070899999996,1.3851120471954346
48,0,pytorch_eval_cpu,411,30.582125000000001,1.3533456325531006
48,1,onnx_eval_cpu,411,24.971792000000001,1.3533458709716797
48,2,pytorch_mc20_cpu,411,639.96666700000003,1.434648871421814
49,0,onnx_eval_cpu,1654,25.448374999999999,1.5464715957641602
49,1,pytorch_eval_cpu,1654,31.668208,1.5464721918106079
49,2,pytorch_mc20_cpu,1654,645.19379100000003,1.7750174999237061
50,0,onnx_eval_cpu,1043,24.499666999999999,1.6098963022232056
50,1,pytorch_eval_cpu,1043,30.709250000000001,1.6098971366882324
50,2,pytorch_mc20_cpu,1043,630.48833300000001,1.7429525852203369
51,0,onnx_eval_cpu,1060,24.712667,1.7557219266891479
51,1,pytorch_mc20_cpu,1060,639.17462499999999,2.0066952705383301
51,2,pytorch_eval_cpu,1060,30.473624999999998,1.7557220458984375
52,0,pytorch_eval_cpu,1376,30.338334,1.9020700454711914
52,1,onnx_eval_cpu,1376,24.015917000000002,1.9020698070526123
52,2,pytorch_mc20_cpu,1376,643.72337500000003,2.2404427528381348
53,0,onnx_eval_cpu,1312,23.267208,2.2511801719665527
53,1,pytorch_eval_cpu,1312,31.047042000000001,2.2511813640594482
53,2,pytorch_mc20_cpu,1312,649.55141700000001,2.8372304439544678
54,0,pytorch_eval_cpu,148,30.570875000000001,1.3675583600997925
54,1,pytorch_mc20_cpu,148,642.79691600000001,1.3838173151016235
54,2,onnx_eval_cpu,148,24.725999999999999,1.3675587177276611
55,0,onnx_eval_cpu,285,24.563040999999998,1.3815205097198486
55,1,pytorch_eval_cpu,285,31.042750000000002,1.3815203905105591
55,2,pytorch_mc20_cpu,285,644.436375,1.4742025136947632
56,0,pytorch_eval_cpu,681,30.401916,1.3625466823577881
56,1,onnx_eval_cpu,681,25.897957999999999,1.3625465631484985
56,2,pytorch_mc20_cpu,681,637.89820799999995,1.3839932680130005
57,0,onnx_eval_cpu,411,24.238040999999999,1.3533458709716797
57,1,pytorch_mc20_cpu,411,637.142875,1.352563738822937
57,2,pytorch_eval_cpu,411,31.159375000000001,1.3533456325531006
58,0,onnx_eval_cpu,1654,23.921250000000001,1.5464715957641602
58,1,pytorch_mc20_cpu,1654,641.14658399999996,1.8220224380493164
58,2,pytorch_eval_cpu,1654,30.85575,1.5464721918106079
59,0,pytorch_eval_cpu,1043,30.434208999999999,1.6098971366882324
59,1,onnx_eval_cpu,1043,25.454332999999998,1.6098963022232056
59,2,pytorch_mc20_cpu,1043,642.92141600000002,1.8145425319671631
