catalog_id,begin_utc,peak_utc,end_hhmm_reported,goes_class,satellite,noaa,source_file,source_line_number,raw_line
20240508_370,2024-05-08T07:29:00Z,2024-05-08T07:41:00Z,0753,M4.5,G16,13663.0,reports/phase2_historical_case/sources/20240508events.txt,67, 370 +     0729   0741      0753  G16  5   XRA  1-8A      M4.5    5.1E-02   3663
20240508_390,2024-05-08T09:31:00Z,2024-05-08T09:37:00Z,0942,M1.8,G16,13663.0,reports/phase2_historical_case/sources/20240508events.txt,76, 390 +     0931   0937      0942  G16  5   XRA  1-8A      M1.8    1.2E-02   3663
20240508_400,2024-05-08T09:43:00Z,2024-05-08T09:48:00Z,0956,M2.1,G16,13663.0,reports/phase2_historical_case/sources/20240508events.txt,80, 400 +     0943   0948      0956  G16  5   XRA  1-8A      M2.1    1.6E-02   3663
20240508_430,2024-05-08T11:09:00Z,2024-05-08T11:22:00Z,1126,M4.1,G16,13663.0,reports/phase2_historical_case/sources/20240508events.txt,88, 430 +     1109   1122      1126  G16  5   XRA  1-8A      M4.1    1.4E-02   3663
20240508_520,2024-05-08T17:32:00Z,2024-05-08T17:53:00Z,1800,M7.9,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,122, 520 +     1732   1753      1800  G16  5   XRA  1-8A      M7.9    5.8E-02   3664
20240508_540,2024-05-08T18:14:00Z,2024-05-08T18:36:00Z,1851,M2.9,G16,13663.0,reports/phase2_historical_case/sources/20240508events.txt,131, 540 +     1814   1836      1851  G16  5   XRA  1-8A      M2.9    7.4E-03   3663
20240508_550,2024-05-08T19:15:00Z,2024-05-08T19:21:00Z,1929,M2.0,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,138, 550 +     1915   1921      1929  G16  5   XRA  1-8A      M2.0    1.6E-02   3664
20240508_590,2024-05-08T20:27:00Z,2024-05-08T20:34:00Z,2039,M1.7,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,145, 590 +     2027   2034      2039  G16  5   XRA  1-8A      M1.7    1.2E-02   3664
20240508_600,2024-05-08T21:08:00Z,2024-05-08T21:40:00Z,2310,X1.0,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,147, 600 +     2108   2140      2310  G16  5   XRA  1-8A      X1.0    5.3E-01   3664
20240508_620,2024-05-08T21:08:00Z,2024-05-08T21:40:00Z,0307,X1.0,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,149, 620       2108   2140      0307  G16  5   XRA  1-8A      X1.0    2.0E-01   3664
20240508_920,2024-05-08T22:05:00Z,2024-05-08T22:27:00Z,2312,M9.8,G16,13664.0,reports/phase2_historical_case/sources/20240508events.txt,160, 920 +     2205   2227      2312  G16  5   XRA  1-8A      M9.8    3.2E-01   3664
