epoch,train_whl,val_whl,train_mae,val_mae,learning_rate
1,1.0812791099047003,3.1952297578746376,0.55324659247720498,1.1468764874418425,0.001
2,0.39219370748064386,0.48048856027226033,0.31285084436667976,0.36994938841337488,0.001
3,0.33421237246407204,0.057215479588553934,0.28776790540520064,0.12496475263466854,0.001
4,0.27366145102610256,0.052632897695661048,0.26572650651155938,0.12133311840064626,0.001
5,0.28462712059805895,0.045786183086638212,0.27049000591011302,0.114525478432387,0.001
6,0.22589215281801378,0.057057227585252245,0.23765679408435478,0.12204762432058501,0.001
7,0.22400036583221264,0.047305221439201114,0.24267109445908544,0.12058018385910715,0.001
8,0.19495204254119994,0.042626622625176899,0.22299406345008557,0.11507463324885858,0.001
9,0.18832445781957979,0.043267410319340997,0.22008479412797516,0.11327550982341114,0.001
10,0.17328389754587983,0.04305311232918569,0.21257090901727341,0.11437606471572992,0.001
11,0.17456850913538466,0.040042741585367081,0.20726809384820577,0.10646376093077568,0.001
12,0.15430902883226139,0.04640733079538599,0.19785620640789633,0.10748931737227131,0.001
13,0.14350524765893916,0.03918558454048951,0.19425731032491297,0.11086954476715494,0.001
14,0.14008179807470142,0.038533673625255269,0.19258215120301486,0.10843625392750642,0.001
15,0.1397312195895401,0.040779730524626974,0.19245986335624637,0.11284999186775077,0.001
16,0.13553485783307923,0.04588493733125041,0.18766844235750518,0.10925470530533518,0.001
17,0.13367886273819532,0.040565520694953859,0.18524460790840133,0.11008231415494767,0.001
18,0.1284293152115438,0.040535924014256479,0.1843035690819616,0.11217343869544708,0.001
19,0.12633203963202369,0.037613548423400853,0.18132258544753099,0.1061112184374958,0.00050000000000000001
20,0.12890938565234247,0.040932052814801834,0.18497975749077966,0.10496322555687038,0.00050000000000000001
21,0.11585818629509828,0.037633693900965014,0.17226868343285218,0.10673059443783851,0.00050000000000000001
22,0.11953142546223641,0.03570486734065266,0.1761373673786332,0.1028099376212508,0.00050000000000000001
23,0.13182472313561971,0.040064756662900006,0.18082808461447877,0.10464446110643814,0.00050000000000000001
24,0.12078272138007135,0.037813289154731727,0.17479842406414897,0.10706962758370679,0.00050000000000000001
25,0.11535784280322825,0.039021865411629698,0.17247362760959864,0.10596523068476993,0.00050000000000000001
26,0.10178595296435987,0.040120289352910149,0.1651814307177441,0.11148010709893114,0.00050000000000000001
27,0.10606642837302102,0.037026792297231832,0.16809428102566332,0.10279531816565946,0.00025000000000000001
28,0.11859687602769524,0.035447273275924729,0.17398532611148682,0.099722237981317616,0.00025000000000000001
29,0.1131908084513118,0.039807499290759121,0.17077529292862037,0.10741560104455332,0.00025000000000000001
30,0.10694834413441105,0.036924559453027785,0.16741936837458588,0.1039974782403431,0.00025000000000000001
31,0.11669387998011541,0.038237366697860764,0.1738902010399313,0.10310109798219268,0.00025000000000000001
32,0.11158760812144185,0.034303682696909962,0.16737061438392617,0.10046869493709318,0.00025000000000000001
33,0.11417673256684212,0.03588885153881044,0.170805628998976,0.10645370893605309,0.00025000000000000001
34,0.11637225645735194,0.037330324375584097,0.1712312054112341,0.10412672785298453,0.00025000000000000001
35,0.11230183196751194,0.037460902953669148,0.16781205744203445,0.10282463753178092,0.00025000000000000001
36,0.095399180932287705,0.034681394554589635,0.15762762933771005,0.10268914302945591,0.00025000000000000001
37,0.11412873558636283,0.036786383775703806,0.17382301280999843,0.1018568577648569,0.000125
38,0.11240152305755924,0.03357759526020674,0.17262299794111788,0.1027433786668705,0.000125
39,0.10389444402832854,0.036601081646327284,0.16317457772373131,0.10379086797454964,0.000125
40,0.10709271735230817,0.031851010262512885,0.16818673840655698,0.096707445587042168,0.000125
41,0.1037290643840376,0.033913973265614343,0.1656350539226287,0.10169842686263328,0.000125
42,0.10493507949399676,0.036770271257755872,0.16551993044357319,0.10230293479029216,0.000125
43,0.10143808208824225,0.034929585915781249,0.16273634855969535,0.10353852542180979,0.000125
44,0.10693352165446748,0.039177099759814406,0.16570493668232728,0.10328953710345715,0.000125
45,0.10738167372292047,0.033332807369558529,0.16624298732866002,0.10117179495300177,6.2500000000000001e-05
46,0.11145719892206246,0.033447564370618577,0.16908692038989317,0.10137882211135821,6.2500000000000001e-05
47,0.10601998870566728,0.036686397848133802,0.16874526840919091,0.10303673414449728,6.2500000000000001e-05
48,0.11784375291654431,0.034519778939934284,0.17502163675260135,0.10102804186452931,6.2500000000000001e-05
49,0.10011666596332808,0.034161245244990736,0.16202311247558848,0.10354596081795348,3.1250000000000001e-05
50,0.09935460013508457,0.036564932902389609,0.16255206045482865,0.10204998939209564,3.1250000000000001e-05
