year_tai,protocol,n,mae,rmse,r2,mape,mape_nonzero_n,bias,median_ae,p90_ae,p95_ae,max_ae
2016,mc_si,26,0.13660453374569231,0.14404201104467956,-0.29026857234181991,9.6028046025438449,26,0.10184335250120896,0.1433674693107605,0.19388109445571899,0.21247848868370056,0.23063278198242188
2017,mc_si,30,0.091071565945943192,0.10363195919295717,0.27601109031968385,6.2054602899811258,30,0.016801436742146809,0.094548463821411133,0.15412136316299441,0.18335414528846733,0.21122503280639648
2018,mc_si,35,0.10376705101558141,0.13039132177895699,-0.32324571957430503,7.2214305488924504,35,-0.019040111133030484,0.098186969757080078,0.21202125549316406,0.26123383045196524,0.30520641803741455
2021,mc_si,29,0.091880925770463612,0.10772989604742689,0.0087734781681348961,6.3147497468283795,29,0.027434895778524464,0.089683890342712402,0.1770331621170044,0.1873303174972534,0.19268584251403809
2022,mc_si,30,0.081083289782206219,0.097504241114106924,0.72548908812030799,4.7572214579409327,30,0.044727333386739093,0.073310434818267822,0.14344236850738526,0.17579424977302538,0.19611108303070068
2023,mc_si,34,0.094317134688882268,0.11196867445460906,0.53328685263089093,4.6648504555799004,34,-0.0090494646745569573,0.079327583312988281,0.17276082038879395,0.18690678477287287,0.2518690824508667
2024,mc_si,38,0.10916100991399665,0.14643076118466022,0.61320270071067573,5.0886200774006447,38,-0.031094403643357128,0.081444144248962402,0.24823777675628667,0.27565972805023192,0.33932805061340332
2025,mc_si,31,0.091197898310999712,0.11719899908281904,0.7386002782858857,4.313080527616771,31,-0.044009393261324976,0.079019069671630859,0.17759275436401367,0.21024763584136963,0.27521038055419922
2026,mc_si,10,0.15148606300354003,0.16068026047029707,0.27420011428101831,7.4478594491685461,10,-0.15148606300354003,0.14154976606369019,0.19268077611923215,0.23171040415763847,0.27074003219604492
2016,onnx_si,26,0.077762988897470325,0.10668966506475897,0.29214146935953078,5.1905453416272476,26,-0.019673494192270134,0.046632468700408936,0.21947306394577026,0.23163095116615295,0.23500478267669678
2017,onnx_si,30,0.087621887524922684,0.12192195219586122,-0.0020936542921252688,5.6280886171482143,30,-0.06630757649739584,0.054943382740020752,0.23917064666748047,0.25059615373611449,0.26388061046600342
2018,onnx_si,35,0.099351627486092706,0.12891933764042346,-0.29353818426093903,6.7800267035447837,35,-0.0545527560370309,0.075285911560058594,0.23967909812927246,0.25256354808807363,0.32925164699554443
2021,onnx_si,29,0.076614568973409722,0.10304452873852681,0.09311899194266593,5.0765685576066089,29,-0.049477881398694266,0.05767059326171875,0.12806837558746337,0.22559273242950414,0.29946160316467285
2022,onnx_si,30,0.15045689741770427,0.18093298753941625,0.054746905108895016,8.2270734399938767,30,-0.14977428913116456,0.14100790023803711,0.30203143358230594,0.33193382620811457,0.35701525211334229
2023,onnx_si,34,0.29279389100916248,0.3092917551177119,-2.5611777200284531,14.316353124278425,34,-0.29279389100916248,0.2797507643699646,0.4203049302101135,0.46259995102882379,0.57060062885284424
2024,onnx_si,38,0.36252023358094065,0.38078280640937368,-1.6156127990207048,16.456430821182057,38,-0.36252023358094065,0.35891401767730713,0.51368069648742687,0.57600831985473633,0.69843316078186035
2025,onnx_si,31,0.35420453163885302,0.37776907856724118,-1.7158772003570113,16.522318712933519,31,-0.35420453163885302,0.3427959680557251,0.54237353801727295,0.57080870866775513,0.62240946292877197
2026,onnx_si,10,0.40995008945465089,0.41689844502839435,-3.8859879535818909,20.14237226134335,10,-0.40995008945465089,0.39707159996032715,0.49266116619110106,0.52604469060897818,0.55942821502685547
